name,gb,pname,officalProvinceNum2025,provinceNum2025,cityNum2025,dividRatio,officalCityNumDivid
茂名市,156440900,广东省,38770,32965,1438,0.043622023358107,1691
伊犁哈萨克自治州,156654000,新疆维吾尔自治区,4735,5519,597,0.108171770248233,512
宁波市,156330200,浙江省,21942,19399,3089,0.159235012114026,3494
兰州市,156620100,甘肃省,1894,2440,552,0.226229508196721,428
临汾市,156141000,山西省,5731,5767,600,0.104040228888504,596
常州市,156320400,江苏省,25553,21829,1660,0.076045627376426,1943
宿州市,156341300,安徽省,9743,20493,1266,0.061777192211975,602
潮州市,156445100,广东省,38770,32965,501,0.015197937206128,589
昌都市,156540300,西藏自治区,279,421,85,0.201900237529691,56
玉林市,156450900,广西壮族自治区,8814,10222,899,0.087947564077480,775
海北藏族自治州,156632200,青海省,578,488,29,0.059426229508197,34
漯河市,156411100,河南省,12525,15874,315,0.019843769686279,249
七台河市,156230900,黑龙江省,1662,1844,36,0.019522776572668,32
西双版纳傣族自治州,156532800,云南省,5815,6937,238,0.034308779011100,200
陇南市,156621200,甘肃省,1894,2440,120,0.049180327868852,93
保山市,156530500,云南省,5815,6937,368,0.053048868386911,308
遂宁市,156510900,四川省,12365,11998,257,0.021420236706118,265
合肥市,156340100,安徽省,9743,20493,3278,0.159957058507783,1558
铜川市,156610200,陕西省,6270,5960,143,0.023993288590604,150
北屯市,156659005,新疆维吾尔自治区,4735,5519,0,0.000000000000000,0
莲花山风景林自然保护区,156629800,甘肃省,1894,2440,0,0.000000000000000,0
中农发山丹马场,156629700,甘肃省,1894,2440,2,0.000819672131148,2
太子山天然林保护区,156629900,甘肃省,1894,2440,1,0.000409836065574,1
